,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolArea,PoolQC,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,HouseAge,HouseModelAge,TotalSF,TotalArea,TotalBath,TotalPorchSF
168,169,60,RL,62.0,8244,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,840,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,1,Gd,Attchd,Fin,2,440,TA,TA,Y,100,0,NA,0,5,WD,Normal,183500,3,3,1720,2560,2.5,48
169,170,20,RL,0.0,16669,Pave,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,8,6,Hip,WdShake,Plywood,Plywood,BrkFace,653.0,Gd,TA,CBlock,Gd,TA,No,Unf,Unf,1686,GasA,TA,Y,SBrkr,0,2,1,TA,6,Typ,1,TA,Attchd,RFn,2,511,TA,TA,Y,574,0,NA,0,1,WD,Normal,228000,25,25,1707,3393,2.5,64
170,171,50,RM,0.0,12358,Pave,IR1,Lvl,AllPub,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,360,GasA,TA,Y,SBrkr,528,2,1,TA,7,Typ,0,NA,Detchd,Unf,2,660,TA,TA,Y,237,0,NA,0,5,WD,Normal,128500,66,57,1214,2102,1.5,0
171,172,20,RL,141.0,31770,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,BrkFace,Plywood,Stone,112.0,TA,TA,CBlock,TA,Gd,Gd,BLQ,Unf,441,GasA,Fa,Y,SBrkr,0,3,1,TA,7,Typ,2,Gd,Attchd,Fin,2,528,TA,TA,P,210,0,NA,0,5,WD,Normal,215000,50,50,2295,2736,2.0,62
172,173,160,RL,44.0,5306,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,2Story,7,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,Gd,PConc,Gd,Gd,No,GLQ,Rec,354,GasA,Gd,Y,SBrkr,0,2,1,Gd,5,Typ,1,TA,Attchd,RFn,2,504,Gd,TA,Y,441,0,NA,0,6,WD,Normal,239000,19,19,2477,2831,3.0,35
173,174,20,RL,80.0,10197,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,WdShing,Wd Shng,BrkCmn,491.0,TA,TA,CBlock,TA,TA,No,ALQ,Rec,700,GasA,TA,Y,SBrkr,0,3,1,TA,6,Typ,1,TA,Attchd,Unf,2,504,TA,TA,Y,0,0,NA,0,6,COD,Normal,163000,47,47,2024,2724,2.5,20
174,175,20,RL,47.0,12416,Pave,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,Plywood,Stone,132.0,TA,TA,CBlock,Gd,Fa,No,ALQ,LwQ,0,GasA,TA,Y,SBrkr,0,3,1,TA,7,Min2,1,TA,Attchd,Fin,2,616,TA,TA,Y,192,0,NA,0,11,WD,Normal,184000,22,22,3257,3257,3.0,0
175,176,20,RL,84.0,12615,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,Gd,Av,ALQ,Unf,725,GasA,TA,Y,SBrkr,0,4,1,Gd,7,Typ,1,Gd,Attchd,Unf,2,576,TA,TA,Y,0,0,NA,0,6,WD,Normal,243000,57,6,2635,3360,3.0,68
176,177,60,RL,97.0,10029,Pave,IR1,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,Plywood,Plywood,BrkFace,268.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,320,GasA,TA,Y,SBrkr,0,4,1,TA,8,Typ,1,TA,Attchd,Unf,2,521,TA,TA,Y,0,0,NA,0,9,WD,Normal,211000,19,18,2891,3211,3.0,420
177,178,50,RL,0.0,13650,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,Gd,CBlock,TA,TA,No,ALQ,BLQ,554,GasA,Ex,Y,SBrkr,0,4,1,Gd,8,Typ,1,Gd,Attchd,Unf,2,451,TA,TA,Y,0,0,NA,0,7,WD,Normal,172500,48,48,2418,2972,3.0,0
178,179,20,RL,63.0,17423,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,5,Hip,CompShg,VinylSd,VinylSd,Stone,748.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,312,GasA,Ex,Y,SBrkr,0,1,1,Ex,9,Typ,1,Gd,Attchd,Fin,3,1166,TA,TA,Y,0,0,NA,0,7,New,Partial,501837,1,0,4138,4450,3.0,60
179,180,30,RM,60.0,8520,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,CBlock,TA,TA,No,Unf,Unf,968,GasA,TA,Y,SBrkr,0,2,1,TA,5,Typ,0,NA,Detchd,Unf,2,480,Fa,TA,N,0,0,NA,0,7,WD,Normal,100000,84,1,968,1936,1.0,184
180,181,160,FV,0.0,2117,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,320,GasA,Ex,Y,SBrkr,0,3,1,Gd,5,Typ,1,TA,Detchd,Unf,2,440,TA,TA,Y,0,0,NA,0,6,WD,Normal,177000,7,7,1961,2281,2.5,0
181,182,70,RL,54.0,7588,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,6,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,Fa,TA,No,LwQ,Unf,441,GasA,Gd,Y,SBrkr,0,4,1,TA,9,Typ,1,Gd,Detchd,Unf,1,216,Fa,TA,Y,0,0,NA,0,7,WD,Normal,200100,86,56,2154,2595,1.5,40
182,183,20,RL,60.0,9060,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1Story,5,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,98.0,TA,TA,PConc,NA,NA,NA,NA,NA,0,GasA,Ex,Y,SBrkr,0,3,1,TA,7,Typ,1,Gd,Attchd,RFn,1,252,TA,TA,Y,116,0,NA,0,6,WD,Normal,120000,50,1,1340,1340,1.0,180
183,184,50,RM,63.0,11426,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,1362,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Mod,0,NA,Detchd,Unf,2,484,TA,TA,N,280,0,NA,0,6,WD,Normal,200000,5,5,2082,3444,2.5,238
184,185,50,RL,92.0,7438,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Feedr,1Fam,1.5Fin,5,8,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,Fa,TA,No,Unf,Unf,504,GasA,Gd,Y,SBrkr,0,3,1,TA,5,Typ,0,NA,Attchd,Unf,2,576,TA,TA,Y,104,0,NA,0,6,WD,Normal,127000,98,15,1252,1756,1.0,0
185,186,75,RM,90.0,22950,Pave,IR2,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,2.5Fin,10,9,Gable,WdShngl,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,BrkTil,TA,TA,Mn,Unf,Unf,1107,GasA,Ex,Y,SBrkr,572,4,1,Ex,12,Typ,2,TA,Detchd,Unf,3,840,Ex,TA,Y,0,0,NA,0,6,WD,Normal,475000,114,13,3036,4715,2.5,670
186,187,80,RL,0.0,9947,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,7,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,577,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,0,NA,Attchd,Unf,2,497,TA,TA,Y,168,0,NA,0,6,WD,Normal,173000,19,18,1828,2405,3.0,27
187,188,50,RL,60.0,10410,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Fa,TA,No,Unf,Unf,660,GasA,Ex,Y,SBrkr,144,3,1,TA,8,Min2,0,NA,Detchd,Unf,1,180,Fa,Fa,N,0,0,NA,0,8,WD,Normal,135000,93,22,1512,2316,2.5,140
188,189,90,RL,64.0,7018,Pave,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,SFoyer,5,5,Gable,CompShg,Plywood,Plywood,Stone,275.0,TA,TA,CBlock,Gd,TA,Av,GLQ,Unf,0,GasA,TA,Y,SBrkr,0,2,2,TA,6,Typ,2,TA,Detchd,Unf,2,528,TA,TA,Y,120,0,NA,0,6,WD,Alloca,153337,30,30,2310,2310,3.0,0
189,190,120,RL,41.0,4923,Pave,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,440,GasA,Ex,Y,SBrkr,0,0,1,Ex,5,Typ,1,Gd,Attchd,Fin,2,682,TA,TA,Y,0,0,NA,0,8,WD,Normal,286000,7,6,2746,3186,2.5,344
190,191,70,RL,70.0,10570,Pave,Reg,Bnk,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,8,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,CBlock,Gd,Gd,No,Rec,Unf,556,GasA,TA,Y,SBrkr,0,3,1,Gd,10,Maj1,2,TA,Detchd,Unf,2,440,TA,TA,Y,0,0,NA,0,12,WD,Normal,315000,75,13,3024,3580,2.5,74
191,192,60,RL,0.0,7472,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,2Story,7,9,Gable,CompShg,HdBoard,HdBoard,BrkFace,138.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,99,GasA,Gd,Y,SBrkr,0,4,1,Gd,7,Typ,0,NA,Attchd,Fin,2,484,TA,TA,Y,0,0,NA,0,6,WD,Normal,184000,35,3,2105,2204,2.5,32
192,193,20,RL,68.0,9017,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,871,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,0,NA,Attchd,Fin,2,666,TA,TA,Y,0,0,NA,0,9,WD,Normal,192000,10,10,1991,2862,3.0,35
193,194,160,RM,24.0,2522,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Twnhs,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,970,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Maj1,0,NA,Detchd,Unf,2,380,TA,TA,Y,0,0,NA,0,5,WD,Normal,130000,2,2,1709,2679,2.0,40
194,195,20,RL,60.0,7180,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,474,GasA,TA,Y,SBrkr,0,3,1,TA,5,Typ,0,NA,Detchd,Unf,1,352,TA,TA,Y,0,0,NA,0,5,WD,Normal,127000,36,36,1254,1728,1.0,0
195,196,160,RL,24.0,2280,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,289,GasA,TA,Y,SBrkr,0,3,1,TA,7,Typ,1,TA,Attchd,Unf,2,440,TA,TA,Y,87,0,NA,0,7,WD,Normal,148500,33,33,2022,2311,2.5,0
196,197,20,RL,79.0,9416,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,Hip,CompShg,CemntBd,CmentBd,Stone,205.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,600,GasA,Ex,Y,SBrkr,0,3,1,Ex,8,Typ,1,Gd,Attchd,Fin,3,786,TA,TA,Y,171,0,NA,0,9,New,Partial,311872,0,0,2852,3452,3.0,404
197,198,75,RL,174.0,25419,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,2Story,8,4,Gable,CompShg,Stucco,Stucco,None,0.0,Gd,Gd,PConc,TA,TA,No,GLQ,LwQ,140,GasA,Gd,Y,SBrkr,392,4,1,Gd,8,Typ,1,Ex,Detchd,Unf,2,795,TA,TA,Y,0,512,Ex,0,3,WD,Abnorml,235000,88,16,3940,4472,3.5,568
198,199,75,RM,92.0,5520,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2.5Fin,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,755,GasA,Ex,Y,SBrkr,371,5,1,TA,8,Typ,0,NA,NA,None,0,0,NA,NA,Y,0,0,NA,0,7,WD,Abnorml,104000,97,59,1858,2984,1.0,228
199,200,20,RL,76.0,9591,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,262.0,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,625,GasA,Ex,Y,SBrkr,0,3,1,Ex,7,Typ,1,Gd,Attchd,Fin,3,856,TA,TA,Y,0,0,NA,0,1,WD,Normal,274900,5,4,2801,3426,3.0,196
200,201,20,RM,80.0,8546,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,1121,GasA,Ex,Y,SBrkr,0,2,1,TA,5,Typ,0,NA,Attchd,RFn,2,440,TA,TA,Y,132,0,NA,0,3,WD,Normal,140000,7,6,1121,2242,2.0,64
201,202,20,RL,75.0,10125,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,6,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,LwQ,276,GasA,TA,Y,SBrkr,0,3,1,TA,6,Typ,2,Fa,Detchd,Unf,2,473,TA,TA,Y,238,0,NA,0,2,WD,Normal,171500,31,31,2199,2475,2.5,83
202,203,50,RL,50.0,7000,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,6,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,BrkTil,Fa,TA,No,LwQ,Unf,0,GasA,Gd,Y,SBrkr,0,2,1,TA,6,Min1,0,NA,Attchd,Unf,1,398,TA,TA,Y,0,0,NA,0,5,COD,Normal,112000,82,56,1927,1927,2.0,126
203,204,120,RM,0.0,4438,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,205.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,186,GasA,Ex,Y,SBrkr,0,1,1,Gd,3,Typ,1,Gd,Attchd,RFn,2,420,TA,TA,Y,149,0,NA,0,1,WD,Normal,149000,4,4,1510,1696,2.0,0
204,205,50,RM,50.0,3500,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,408,GasA,TA,Y,SBrkr,0,2,1,TA,5,Typ,0,NA,Detchd,Unf,1,240,TA,TA,Y,0,0,NA,0,4,WD,Normal,110000,62,59,1596,2004,1.5,35
205,206,20,RL,99.0,11851,Pave,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,1424,GasA,Ex,Y,SBrkr,0,3,1,TA,5,Typ,0,NA,Attchd,RFn,2,500,TA,TA,Y,0,0,NA,0,5,WD,Normal,180500,19,19,1442,2866,2.0,542
206,207,20,RL,40.0,13673,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,Unf,1140,GasA,TA,Y,SBrkr,0,3,1,TA,8,Min2,1,TA,Attchd,RFn,1,349,TA,TA,Y,0,0,NA,0,3,WD,Normal,143900,45,45,1696,2836,1.5,30
207,208,20,RL,0.0,12493,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,Rec,375,GasA,TA,Y,SBrkr,0,3,1,TA,6,Typ,1,Po,Attchd,RFn,1,312,TA,TA,Y,355,0,NA,0,4,WD,Normal,141000,48,48,1825,2200,2.0,0
208,209,60,RL,0.0,14364,Pave,IR1,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,Plywood,Plywood,BrkFace,128.0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,Unf,92,GasA,Ex,Y,SBrkr,0,3,1,TA,7,Typ,1,Gd,Attchd,Fin,2,454,TA,TA,Y,60,0,NA,0,4,WD,Normal,277000,19,18,3127,3219,3.5,209
209,210,20,RL,75.0,8250,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Hip,CompShg,HdBoard,HdBoard,Stone,260.0,TA,TA,CBlock,Gd,TA,No,Rec,Unf,305,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,0,NA,Attchd,RFn,2,504,TA,Gd,Y,0,0,NA,0,7,WD,Normal,145000,44,44,1879,2184,2.0,0
210,211,30,RL,67.0,5604,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,396,GasA,TA,N,FuseA,0,2,1,TA,5,Typ,0,NA,NA,None,0,0,NA,NA,Y,0,0,NA,0,4,WD,Normal,98000,83,58,1332,1728,2.0,96
211,212,20,RL,83.0,10420,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,Unf,1176,GasA,Ex,Y,SBrkr,0,3,1,Gd,6,Typ,0,NA,Attchd,RFn,2,460,TA,TA,Y,100,0,NA,0,3,WD,Normal,186000,1,1,1248,2424,2.0,22
212,213,60,FV,72.0,8640,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,78,GasA,Ex,Y,SBrkr,0,3,1,Gd,7,Typ,1,TA,Attchd,RFn,2,644,TA,TA,Y,168,0,NA,0,7,New,Partial,252678,0,0,2674,2752,3.5,108
213,214,20,RL,43.0,13568,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,Unf,274,GasA,Ex,Y,SBrkr,0,3,1,TA,5,Typ,0,NA,Attchd,Unf,2,576,TA,TA,Y,224,0,NA,0,7,WD,Normal,156000,11,11,1706,1980,1.5,0
214,215,60,RL,0.0,10900,Pave,IR1,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,7,Gable,CompShg,HdBoard,HdBoard,BrkFace,153.0,TA,TA,CBlock,Gd,TA,No,GLQ,Unf,311,GasA,Ex,Y,SBrkr,0,3,1,TA,6,Typ,0,NA,Attchd,Fin,1,299,TA,TA,Y,0,0,NA,450,3,WD,Normal,161750,33,33,1770,2081,1.5,36
215,216,20,RL,72.0,10011,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,BrkFace,64.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,710,GasA,TA,Y,SBrkr,0,2,1,Gd,6,Min1,1,Fa,Attchd,Unf,1,447,TA,TA,Y,0,0,NA,0,5,WD,Normal,134450,49,10,1596,2306,1.5,0
216,217,20,RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,266.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,490,GasA,Ex,Y,SBrkr,0,3,1,Gd,8,Typ,0,NA,Attchd,Unf,2,484,TA,TA,Y,139,0,NA,0,4,WD,Normal,210000,4,4,2382,2872,3.0,98
217,218,70,RM,57.0,9906,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,4,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,686,GasA,Fa,N,SBrkr,0,3,1,TA,8,Typ,0,NA,Detchd,Unf,1,210,TA,TA,Y,0,0,NA,0,9,WD,Family,107000,81,56,1328,2014,1.0,232
218,219,50,RL,0.0,15660,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,9,Gable,CompShg,VinylSd,VinylSd,BrkFace,312.0,Gd,Gd,CBlock,TA,TA,No,BLQ,Unf,457,GasA,Ex,Y,SBrkr,0,3,1,Gd,8,Typ,2,TA,Attchd,Unf,2,431,TA,TA,Y,0,0,NA,0,5,WD,Normal,311500,69,2,2295,2752,2.0,269
219,220,120,RL,43.0,3010,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1232,GasA,Ex,Y,SBrkr,0,2,1,Gd,5,Typ,0,NA,Attchd,Fin,2,438,TA,TA,Y,108,0,NA,0,3,New,Partial,167240,1,0,1264,2496,2.0,0
220,221,20,RL,73.0,8990,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Mn,Unf,Unf,1498,GasA,Ex,Y,SBrkr,0,2,1,Gd,5,Typ,0,NA,Attchd,RFn,2,675,TA,TA,Y,351,0,NA,0,4,New,Partial,204900,0,0,1498,2996,2.0,33
221,222,60,RL,0.0,8068,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1010,GasA,Ex,Y,SBrkr,0,4,1,Gd,8,Typ,1,TA,BuiltIn,RFn,2,390,TA,TA,Y,120,0,NA,0,12,ConLI,Normal,200000,7,7,2267,3277,2.5,46
222,223,60,RL,85.0,11475,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,6,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,163,GasA,TA,Y,SBrkr,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,434,TA,TA,Y,209,0,NA,0,2,WD,Normal,179900,31,31,2102,2265,3.5,208
223,224,20,RL,70.0,10500,Pave,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,LwQ,160,GasA,Gd,Y,SBrkr,0,2,1,TA,4,Typ,0,NA,Detchd,Unf,2,576,TA,TA,Y,216,0,NA,0,3,WD,Abnorml,97000,38,38,1568,1728,1.0,0
224,225,20,RL,103.0,13472,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,922.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,2336,GasA,Ex,Y,SBrkr,0,3,1,Ex,8,Typ,1,Ex,Attchd,Fin,3,968,TA,TA,Y,248,0,NA,0,6,WD,Normal,386250,6,6,2448,4784,2.0,105
225,226,160,RM,21.0,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,142.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,630,GasA,TA,Y,SBrkr,0,3,1,TA,6,Typ,0,NA,Detchd,Unf,1,280,TA,TA,Y,0,0,NA,0,5,COD,Abnorml,112000,38,38,1302,1932,2.5,0
226,227,60,RL,82.0,9950,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,290.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,638,GasA,Ex,Y,SBrkr,0,4,1,Gd,9,Typ,1,TA,Attchd,RFn,3,721,TA,TA,Y,224,0,NA,0,6,WD,Abnorml,290000,12,12,3085,3723,2.5,114
